Date,Product_ID,Product_Name,Price,Units_Sold,Total_Amount
2023-09-09,SP8401,Running Shoes,30.48,30,914.4
2024-09-27,CL1008,Jeans,39.49,31,1224.19
2023-10-07,SP7228,Tennis Racket,499.63,41,20484.829999999998
2023-08-06,SP5609,Gym Bag,32.29,48,1549.92
2024-06-30,SP5925,Football,53.96,45,2428.2
2023-05-06,HO5578,Dish Rack,440.36,14,6165.04
2024-09-17,SP6613,Tennis Racket,321.23,49,15740.27
2024-12-25,TO5029,Board Game,334.52,21,7024.92
2023-12-16,HO6381,Vacuum Cleaner,17.78,45,800.1
2023-05-17,EL8807,Smartphone,12.1,1,12.1
2024-11-19,HO9011,Vacuum Cleaner,383.61,35,13426.35
2023-03-25,EL9825,Smartphone,25.16,43,1081.88
2024-03-31,EL6783,Smartphone,486.3,25,12157.5
2024-09-07,CL3903,Dress,421.18,45,18953.1
2023-01-09,BE7069,Perfume,468.76,29,13594.039999999999
2023-01-10,HO5606,Blender,343.47,46,15799.62
2024-01-02,HO5967,Blender,406.12,15,6091.8
2023-08-28,TO1602,Board Game,147.57,46,6788.219999999999
2024-12-24,SP1116,Basketball,106.08,41,4349.28
2024-02-10,BE9197,Lipstick,252.07,36,9074.52
2023-07-18,EL3875,Smartwatch,42.03,9,378.27
2023-03-08,HO4734,Cookware Set,441.69,47,20759.43
2023-10-08,HO9731,Blender,311.08,44,13687.519999999999
2024-07-27,TO7997,Action Figure,324.07,42,13610.94
2023-02-23,CL7666,Dress,144.28,44,6348.32
2024-06-14,TO6922,Puzzle,263.46,3,790.3799999999999
2023-08-18,BE7882,Lipstick,270.88,21,5688.48
2023-01-06,TO6483,Doll,50.09,37,1853.3300000000002
2023-01-26,EL7943,Laptop,479.31,16,7668.96
2023-07-21,HO6092,Cookware Set,40.79,41,1672.3899999999999
2023-04-10,BE8077,Perfume,405.95,38,15426.1
2024-10-03,CL5049,Jacket,62.84,16,1005.44
2023-12-15,BE9514,Lipstick,399.11,5,1995.5500000000002
2024-09-06,SP2567,Running Shoes,316.42,38,12023.960000000001
2023-05-08,BE1546,Face Cream,194.92,45,8771.4
2023-03-08,HO8240,Blender,36.85,40,1474.0
2024-10-03,TO2668,Action Figure,342.01,36,12312.36
2023-02-23,CL7581,Dress,56.96,49,2791.04
2024-02-25,HO1173,Dish Rack,232.17,30,6965.099999999999
2024-03-14,SP2659,Gym Bag,176.41,44,7762.04
2023-01-27,TO6377,Toy Car,298.03,7,2086.21
2023-04-16,BE2106,Makeup Kit,300.51,13,3906.63
2024-08-09,HO5198,Dish Rack,184.14,31,5708.339999999999
2024-09-27,TO4983,Doll,77.46,3,232.38
2023-03-03,HO8140,Cookware Set,261.43,42,10980.06
2024-01-02,CL9866,Sneakers,389.99,10,3899.9
2024-04-25,CL6618,Sneakers,152.62,1,152.62
2024-06-14,SP1939,Basketball,126.32,36,4547.5199999999995
2023-02-25,TO4201,Board Game,488.49,41,20028.09
2023-07-26,BE4102,Lipstick,337.25,45,15176.25
2024-12-09,TO6425,Toy Car,427.48,37,15816.76
2023-12-10,SP7859,Tennis Racket,171.02,7,1197.14
2024-04-10,BE4594,Perfume,460.78,41,18891.98
2023-08-17,EL8643,Laptop,315.72,16,5051.52
2024-05-07,EL7158,Tablet,110.61,12,1327.32
2023-01-07,CL2208,T-shirt,185.36,36,6672.960000000001
2023-04-28,HO8215,Cookware Set,105.26,38,3999.88
2024-01-04,BE4262,Face Cream,106.93,12,1283.16
2023-08-13,CL6567,Jeans,425.29,16,6804.64
2023-07-02,HO3884,Blender,423.01,7,2961.0699999999997
2023-01-22,EL7208,Laptop,330.89,8,2647.12
2023-12-13,HO8474,Cookware Set,127.67,24,3064.08
2024-11-07,HO8106,Dish Rack,440.41,5,2202.05
2023-05-02,HO4107,Microwave,103.92,25,2598.0
2024-12-12,CL8037,Jacket,488.72,16,7819.52
2023-02-17,SP4098,Gym Bag,428.67,19,8144.7300000000005
2023-06-02,CL1872,Jeans,318.43,18,5731.74
2023-05-10,SP9011,Gym Bag,112.53,6,675.1800000000001
2024-04-26,EL2062,Smartwatch,92.04,25,2301.0
2024-10-22,SP9168,Tennis Racket,264.26,12,3171.12
2023-11-26,EL9609,Tablet,350.31,46,16114.26
2024-05-21,TO7569,Board Game,322.67,38,12261.460000000001
2024-10-27,BE4596,Shampoo,448.49,29,13006.210000000001
2023-08-29,TO6013,Doll,218.26,25,5456.5
2024-08-08,HO5170,Cookware Set,279.77,9,2517.93
2023-03-28,CL9500,Dress,182.27,38,6926.26
2023-02-12,TO6511,Toy Car,218.79,30,6563.7
2024-03-18,TO9151,Board Game,165.34,25,4133.5
2023-01-26,HO4830,Vacuum Cleaner,140.16,5,700.8
2024-01-03,BE9220,Lipstick,261.27,42,10973.34
2023-03-22,CL2612,Jeans,68.11,24,1634.6399999999999
2023-02-09,SP6468,Basketball,106.36,22,2339.92
2023-09-14,CL4123,Jacket,355.76,9,3201.84
2024-07-10,CL5906,T-shirt,148.1,23,3406.2999999999997
2024-02-18,TO1194,Toy Car,241.28,33,7962.24
2023-06-02,TO4717,Doll,364.43,14,5102.02
2024-04-30,HO8679,Dish Rack,364.03,30,10920.9
2023-12-15,BE4077,Lipstick,220.11,45,9904.95
2024-03-03,HO8372,Vacuum Cleaner,427.94,2,855.88
2024-01-19,HO3102,Dish Rack,159.73,48,7667.039999999999
2023-01-10,TO6567,Board Game,120.49,28,3373.72
2024-12-03,TO5909,Toy Car,169.78,2,339.56
2024-08-04,BE3518,Shampoo,488.85,22,10754.7
2024-08-04,EL7404,Smartwatch,490.28,14,6863.92
2024-02-05,BE7331,Makeup Kit,102.29,7,716.0300000000001
2023-12-03,SP5991,Running Shoes,55.69,7,389.83
2024-11-22,SP1525,Basketball,414.97,39,16183.830000000002
2024-05-15,BE4260,Shampoo,44.05,25,1101.25
2023-10-18,HO5769,Microwave,333.19,5,1665.95
2024-04-10,BE9495,Lipstick,15.41,21,323.61
2024-02-25,TO2814,Doll,73.28,27,1978.56
2024-05-04,EL7373,Smartphone,478.0,14,6692.0
2023-05-14,HO8081,Cookware Set,410.77,43,17663.11
2024-05-01,HO6084,Dish Rack,297.87,33,9829.710000000001
2024-12-02,TO4304,Board Game,13.65,10,136.5
2024-04-01,BE5044,Perfume,267.67,37,9903.79
2024-05-17,TO1640,Puzzle,371.27,19,7054.129999999999
2024-10-23,TO5873,Board Game,201.63,12,2419.56
2024-03-01,HO8079,Microwave,234.34,43,10076.62
2023-07-07,EL2565,Smartwatch,202.84,3,608.52
2023-09-03,HO9810,Cookware Set,153.03,5,765.15
2024-12-15,EL9085,Laptop,211.53,49,10364.97
2024-07-20,BE2253,Lipstick,380.14,33,12544.619999999999
2023-11-30,TO3700,Puzzle,133.86,33,4417.38
2023-02-15,TO2199,Action Figure,323.04,44,14213.76
2024-04-17,TO7542,Board Game,429.33,26,11162.58
2023-02-08,BE2878,Lipstick,357.46,9,3217.14
2023-12-01,EL8942,Headphones,236.06,6,1416.3600000000001
2024-07-15,EL8171,Laptop,78.73,18,1417.14
2023-06-15,HO2646,Blender,96.85,8,774.8
2024-07-01,EL3759,Headphones,48.02,49,2352.98
2023-01-12,EL3514,Tablet,225.92,12,2711.04
2023-08-10,EL9721,Smartphone,115.92,45,5216.4
2023-02-18,EL2684,Smartwatch,201.4,20,4028.0
2024-03-30,BE1076,Makeup Kit,33.85,25,846.25
2023-07-26,HO4908,Cookware Set,107.99,2,215.98
2024-03-07,BE6523,Face Cream,412.06,44,18130.64
2024-11-16,BE2582,Shampoo,400.49,43,17221.07
2023-06-21,EL1721,Laptop,213.68,7,1495.76
2023-12-01,CL4105,Sneakers,316.09,35,11063.15
2024-02-09,TO4807,Action Figure,114.75,23,2639.25
2023-11-28,HO7588,Blender,330.46,1,330.46
2024-02-03,HO4606,Vacuum Cleaner,42.35,18,762.3000000000001
2024-10-27,SP1719,Tennis Racket,42.99,14,601.86
2024-02-25,CL9185,Sneakers,491.72,7,3442.04
2024-12-30,SP3809,Gym Bag,133.45,7,934.1499999999999
2024-09-06,CL3177,Dress,172.7,41,7080.7
2024-12-05,CL2106,Dress,174.2,39,6793.799999999999
2024-08-22,TO9372,Puzzle,323.89,15,4858.349999999999
2024-05-30,SP4811,Football,20.39,49,999.11
2023-05-08,CL8020,Jeans,381.05,40,15242.0
2023-03-23,BE7136,Shampoo,254.38,13,3306.94
2023-06-05,TO1621,Doll,126.65,47,5952.55
2024-09-04,TO3199,Board Game,146.28,42,6143.76
2023-02-10,SP5726,Running Shoes,377.77,15,5666.549999999999
2023-12-06,CL4372,Jeans,274.26,43,11793.18
2023-09-12,EL7250,Laptop,265.52,12,3186.24
2024-03-28,EL2058,Smartphone,436.23,5,2181.15
2023-07-17,BE4345,Shampoo,71.52,12,858.24
2024-08-29,SP4871,Basketball,258.64,28,7241.92
2024-04-23,CL4236,Jeans,130.01,12,1560.12
2024-09-12,HO5675,Cookware Set,292.45,41,11990.449999999999
2023-07-26,CL2310,Dress,476.0,24,11424.0
2024-02-12,TO8712,Doll,226.27,33,7466.910000000001
2024-09-16,EL3553,Headphones,411.61,31,12759.91
2023-01-21,TO2363,Puzzle,381.84,20,7636.799999999999
2024-09-01,SP3878,Basketball,136.07,30,4082.1
2023-11-10,TO7146,Board Game,285.45,31,8848.949999999999
2023-03-15,CL8688,Jeans,105.9,13,1376.7
2023-01-05,BE7131,Makeup Kit,250.81,27,6771.87
2024-02-09,EL7292,Tablet,249.88,42,10494.96
2024-08-25,BE1636,Perfume,496.31,8,3970.48
2024-01-30,SP4182,Basketball,383.85,17,6525.450000000001
2023-12-23,SP7032,Running Shoes,351.26,42,14752.92
2024-01-30,TO4970,Doll,244.09,24,5858.16
2024-10-08,EL3422,Smartphone,138.05,30,4141.5
2024-11-28,HO5053,Cookware Set,305.05,43,13117.15
2023-06-15,BE2512,Face Cream,325.75,25,8143.75
2024-02-12,EL2316,Smartwatch,264.08,13,3433.04
2024-03-09,HO5143,Vacuum Cleaner,349.0,33,11517.0
2024-06-29,EL6045,Headphones,369.63,49,18111.87
2023-04-02,BE6642,Makeup Kit,408.97,18,7361.460000000001
2023-08-03,EL6047,Headphones,13.15,11,144.65
2024-05-18,BE2144,Face Cream,389.13,27,10506.51
2024-06-21,TO8060,Board Game,93.61,24,2246.64
2023-07-10,EL4244,Laptop,248.37,33,8196.210000000001
2023-04-23,TO4482,Toy Car,100.96,4,403.84
2023-07-07,HO7697,Cookware Set,225.96,40,9038.4
2023-04-22,EL2307,Laptop,153.63,25,3840.75
2023-05-08,CL6605,T-shirt,24.54,16,392.64
2024-05-04,TO1155,Action Figure,39.92,49,1956.0800000000002
2023-01-08,EL1685,Smartwatch,57.45,34,1953.3000000000002
2023-01-08,TO9520,Toy Car,493.58,49,24185.42
2023-09-30,TO6521,Puzzle,306.14,22,6735.08
2024-01-15,EL6164,Tablet,410.26,24,9846.24
2024-11-12,TO1937,Puzzle,487.9,22,10733.8
2023-04-13,BE7583,Perfume,365.36,9,3288.2400000000002
2023-01-27,SP9693,Football,146.94,45,6612.3
2023-09-12,CL8785,Dress,262.31,43,11279.33
2023-07-12,BE1272,Lipstick,320.55,3,961.6500000000001
2023-11-30,EL4826,Headphones,307.31,26,7990.06
2024-09-19,BE8010,Lipstick,470.15,31,14574.65
2024-11-05,EL7305,Smartphone,153.99,13,2001.8700000000001
2024-12-30,HO9267,Dish Rack,25.56,32,817.92
2023-03-31,CL8648,Sneakers,92.35,29,2678.1499999999996
2023-04-29,TO4946,Toy Car,129.24,11,1421.64
2024-11-06,EL2728,Smartphone,223.1,46,10262.6
2023-01-30,HO7283,Cookware Set,385.49,15,5782.35
2023-09-21,EL3016,Headphones,336.08,35,11762.8
2024-10-10,EL2481,Headphones,399.81,22,8795.82
2023-08-18,SP2059,Gym Bag,325.55,25,8138.75
2024-01-26,EL8159,Smartwatch,406.14,15,6092.099999999999
2023-09-23,BE2436,Lipstick,64.58,22,1420.76
2024-08-29,HO7025,Blender,72.43,21,1521.0300000000002
2024-01-25,SP6092,Football,40.32,35,1411.2
2023-07-14,TO6237,Puzzle,387.93,44,17068.920000000002
2023-05-10,SP4639,Gym Bag,62.23,1,62.23
2024-07-05,TO3370,Board Game,409.91,19,7788.290000000001
2023-08-13,TO3415,Puzzle,304.72,10,3047.2000000000003
2024-11-12,EL6245,Smartphone,161.36,45,7261.200000000001
2023-05-07,CL8836,Sneakers,319.23,14,4469.22
2024-05-21,CL1963,Dress,490.76,22,10796.72
2023-06-06,EL4687,Laptop,353.2,4,1412.8
2023-07-03,TO5900,Puzzle,492.35,43,21171.05
2023-06-13,BE7427,Makeup Kit,175.33,44,7714.52
2024-04-29,CL7407,Dress,45.19,47,2123.93
2023-10-17,CL9978,Jeans,202.95,9,1826.55
2023-11-28,SP5981,Football,234.19,11,2576.09
2024-08-14,HO8904,Vacuum Cleaner,152.63,10,1526.3
2023-08-03,HO1149,Microwave,187.49,37,6937.13
2023-04-15,EL7169,Laptop,475.7,28,13319.6
2024-11-26,HO2573,Blender,184.24,31,5711.4400000000005
2023-07-03,BE9444,Face Cream,328.55,38,12484.9
2024-03-20,HO5014,Vacuum Cleaner,26.66,16,426.56
2024-02-11,TO3826,Board Game,329.87,25,8246.75
2024-12-09,EL8596,Smartphone,433.8,42,18219.600000000002
2024-01-27,CL7018,Dress,15.69,8,125.52
2023-03-26,BE9351,Perfume,120.22,38,4568.36
2024-08-09,SP5484,Running Shoes,349.93,7,2449.51
2024-08-30,HO8932,Vacuum Cleaner,499.98,45,22499.100000000002
2024-03-20,CL3051,Sneakers,58.73,5,293.65
2024-12-31,SP7640,Basketball,408.31,2,816.62
2024-02-08,SP9684,Gym Bag,249.4,34,8479.6
2024-08-21,SP4399,Football,483.18,8,3865.44
2023-07-05,SP1087,Basketball,281.81,21,5918.01
2023-05-06,BE4378,Shampoo,329.79,6,1978.7400000000002
2024-07-29,CL2386,T-shirt,490.16,33,16175.28
2023-11-02,CL3811,Sneakers,217.3,43,9343.9
2023-01-01,HO1756,Cookware Set,473.65,34,16104.099999999999
2023-10-28,EL8289,Smartwatch,78.53,32,2512.96
2024-12-12,CL6769,Sneakers,307.02,33,10131.66
2023-08-03,EL1732,Smartphone,126.18,13,1640.3400000000001
2023-05-26,CL3198,Jeans,305.05,14,4270.7
2024-08-28,CL3105,Jacket,367.26,28,10283.279999999999
2023-03-18,SP5270,Tennis Racket,197.07,11,2167.77
2024-02-14,TO5164,Action Figure,341.5,45,15367.5
2023-05-27,SP2156,Basketball,318.49,18,5732.82
2024-10-10,EL7097,Laptop,286.18,42,12019.56
2024-06-07,SP7876,Basketball,412.57,21,8663.97
2024-03-20,TO5055,Action Figure,47.99,8,383.92
2024-06-28,BE7664,Makeup Kit,42.32,41,1735.1200000000001
2023-04-02,CL5476,Jacket,81.7,15,1225.5
2023-10-08,BE7179,Face Cream,489.95,15,7349.25
2024-01-23,BE3879,Face Cream,267.97,20,5359.400000000001
2024-08-25,TO9666,Action Figure,180.96,37,6695.52
2023-10-16,SP2623,Tennis Racket,449.32,11,4942.5199999999995
2023-11-22,TO6655,Doll,404.98,44,17819.120000000003
2024-06-28,SP7597,Gym Bag,243.66,9,2192.94
2023-09-23,BE3547,Makeup Kit,332.21,10,3322.1
2024-01-23,SP1866,Tennis Racket,460.04,41,18861.64
2024-01-15,EL7852,Laptop,356.33,12,4275.96
2024-03-25,CL9228,Dress,150.54,28,4215.12
2024-06-17,EL6000,Laptop,321.46,6,1928.7599999999998
2023-11-09,TO2476,Board Game,320.99,5,1604.95
2023-09-03,BE1940,Shampoo,51.45,19,977.5500000000001
2024-07-21,TO7946,Action Figure,341.75,47,16062.25
2023-05-20,TO9437,Puzzle,345.71,44,15211.24
2024-06-29,EL7643,Smartphone,16.81,13,218.52999999999997
2023-01-08,EL9754,Headphones,377.34,16,6037.44
2024-11-08,SP1693,Gym Bag,307.61,11,3383.71
2024-11-21,SP3864,Basketball,46.81,9,421.29
2024-06-10,CL7925,T-shirt,252.8,11,2780.8
2024-01-18,BE5092,Lipstick,417.55,50,20877.5
2023-05-01,CL8915,Jacket,153.84,14,2153.76
2023-01-03,EL7449,Smartwatch,116.56,20,2331.2
2024-10-20,SP8586,Football,447.32,32,14314.24
2023-02-28,CL8542,T-shirt,170.99,23,3932.7700000000004
2023-04-20,BE4050,Lipstick,207.01,1,207.01
2023-04-14,TO4236,Puzzle,51.52,33,1700.16
2023-06-07,TO8985,Action Figure,13.39,50,669.5
2024-11-03,CL8711,Jeans,203.73,20,4074.6
2024-01-09,TO9788,Doll,407.66,7,2853.6200000000003
2024-03-25,EL3651,Headphones,78.54,48,3769.92
2024-03-20,BE4251,Lipstick,64.23,19,1220.3700000000001
2023-02-11,HO7898,Vacuum Cleaner,374.52,3,1123.56
2023-06-14,EL8852,Laptop,480.25,18,8644.5
2023-05-02,TO9119,Puzzle,401.91,46,18487.86
2023-05-11,CL9222,Dress,365.74,48,17555.52
2024-02-03,HO2767,Blender,398.43,9,3585.87
2023-06-09,CL1223,Sneakers,386.02,16,6176.32
2023-02-23,EL8039,Tablet,488.45,48,23445.6
2023-01-09,TO5742,Puzzle,148.29,6,889.74
2024-03-15,HO3498,Dish Rack,367.33,12,4407.96
2023-09-13,CL5317,T-shirt,497.19,16,7955.04
2024-11-13,TO8764,Doll,356.17,7,2493.19
2024-12-18,EL3968,Smartwatch,102.45,38,3893.1
2024-10-06,EL4758,Laptop,69.03,26,1794.78
2023-02-09,CL3395,Jeans,218.89,40,8755.599999999999
2023-07-24,BE7231,Face Cream,209.58,20,4191.6
2024-12-17,EL4633,Laptop,174.73,31,5416.63
2023-03-04,SP1846,Running Shoes,159.1,18,2863.7999999999997
2024-01-08,CL7849,Jacket,131.01,4,524.04
2023-07-06,BE1854,Face Cream,333.61,21,7005.81
2023-08-06,CL5590,Dress,455.16,7,3186.1200000000003
2024-03-17,HO9049,Cookware Set,188.15,20,3763.0
2023-04-25,BE3134,Face Cream,172.29,48,8269.92
2024-01-06,EL9664,Smartwatch,306.31,16,4900.96
2024-10-27,CL7292,Jeans,52.74,7,369.18
2023-05-14,EL2971,Smartwatch,30.11,42,1264.62
2023-07-15,HO2616,Vacuum Cleaner,46.69,35,1634.1499999999999
2024-09-25,CL8769,Jacket,494.93,13,6434.09
2024-06-30,EL1717,Laptop,72.64,27,1961.28
2024-07-17,EL6690,Tablet,448.51,29,13006.789999999999
2024-10-06,EL8145,Smartphone,43.18,27,1165.86
2024-06-20,SP3735,Football,303.59,45,13661.55
2023-05-13,CL1996,T-shirt,399.25,45,17966.25
2023-07-14,EL9110,Headphones,345.5,33,11401.5
2023-03-18,HO9344,Vacuum Cleaner,198.23,50,9911.5
2024-02-04,TO5448,Toy Car,111.39,1,111.39
2023-06-13,SP1145,Basketball,440.79,33,14546.070000000002
2024-04-11,SP5240,Gym Bag,158.67,15,2380.0499999999997
2023-10-31,EL2951,Tablet,93.84,3,281.52
2024-06-30,HO1640,Cookware Set,323.41,18,5821.38
2023-05-17,CL5079,T-shirt,494.87,14,6928.18
2024-07-01,BE6692,Face Cream,320.01,24,7680.24
2023-11-29,BE5326,Makeup Kit,363.82,27,9823.14
2024-09-18,CL1938,Jacket,316.72,1,316.72
2023-12-31,HO3895,Cookware Set,135.43,2,270.86
2024-07-04,EL2743,Smartwatch,364.08,45,16383.599999999999
2024-01-27,EL4377,Tablet,410.26,15,6153.9
2023-11-29,CL7479,Jeans,86.26,15,1293.9
2024-03-20,CL8848,Jeans,55.91,12,670.92
2024-04-15,HO4094,Microwave,289.13,47,13589.11
2023-07-04,EL1344,Tablet,161.98,12,1943.7599999999998
2024-02-08,EL4077,Smartwatch,44.03,5,220.15
2024-03-12,HO7594,Vacuum Cleaner,59.11,34,2009.74
2023-05-21,EL2633,Smartphone,195.16,2,390.32
2023-04-23,BE3165,Face Cream,131.69,6,790.14
2023-10-02,HO1221,Dish Rack,398.28,1,398.28
2023-04-19,SP2392,Tennis Racket,109.14,31,3383.34
2024-07-30,TO6036,Doll,172.56,10,1725.6
2023-09-07,BE5382,Makeup Kit,317.47,8,2539.76
2023-01-22,BE9923,Face Cream,155.4,33,5128.2
2024-03-01,HO4675,Blender,21.76,28,609.2800000000001
